,Desc_P,Code_P,Desc_E,Code_E,Desc_F,Code_F
9906,Suempol - ?oso? atlantycki w?dzony,"Ryby i owoce morza suszone, w?dzone lub solone",Suempol - Smoked Atlantic salmon,"Dried, smoked or salted seafood and fish",Suempol - Saumon atlantique fumé,"Poisson et fruits de mer séchés, fumés ou salés"
4804,Sos Agnesi pesto Siciliana ,"Sosy, przyprawy",Agnesi pesto Siciliana sauce,"Sauces, spices",Agnesi pesto siciliana,"Sauces, Epices"
4180,Sa?atka sycylijska Kuchnia Polki ,Warzywa suszone i pozosta?e przetwory warzywne,Sicilian salad Polish cuisine,Dried vegetables and other vegetable preserves,Salade sicilienne cuisine polonaise,Légumes secs et autres préparations à base de légumes
11469,Prymat Fix Mój przepis na soczyste ?eberka 30 g,"Sosy, przyprawy",Prymat Fix My recipe for juicy ribs 30 g,"Sauces, spices",Prymat Fix Ma recette de côtes levées juteuses 30 g,"Sauces, Epices"
1871,Kawa tchibo gold selection crema /180g ,Kawa,Coffee tchibo gold selection crema / 180g,Coffee,Café Tchibo Gold Selection Crema / 180g,café
4849,Sos ?owicz bolo?ski ,"Sosy, przyprawy",?owicz Bolognese sauce,"Sauces, spices",?owicz sauce bolognaise,"Sauces, Epices"
3510,Pasztet Profi drobiowy firmowy ,Pozosta?e przetwory mi?sne,Poultry Profi company,Other meat preparations,Pâté de volaille entreprise,Autres préparations de viande
6054,  - Sucharki szwedzkie opiekane bez dodatku cukru,Pozosta?e wyroby piekarskie,#NAME?,Other bakery products,#NAME?,Autres produits de boulangerie
15357,Saga Earl Grey Herbata czarna 60 g (40 torebek),Herbata,Saga Earl Gray Black Tea 60 g (40 bags),Tea,Saga Earl Grey Thé noir 60 g (40 sachets),thé
15895,Hortex Vitaminka Truskawka marchewka jab?ko Sok 1 l,Soki owocowe i warzywne,Hortex Vitaminka Strawberry carrot apple Juice 1 l,Fruit and vegetable juices,Jus de pomme carotte Vitaminka Fraise Hortex 1 l,Jus de fruits et de légumes
4545,Serek kremowy kanapkowy z czosnkiem i zio?ami ,Sery i twarogi,Cream cheese sandwich with garlic and herbs,Cheese and curd,Sandwich au fromage à la crème avec ail et fines herbes,Fromage et caillé
8744,"Menii - Smoothie truskawka, pomara?cza, banan",Soki owocowe i warzywne,"Menii - Strawberry, Orange, Banana Smoothie",Fruit and vegetable juices,"Smoothie à la fraise, à l&#39;orange et à la banane",Jus de fruits et de légumes
15957,Tymbark Owoce ?wiata Napój wieloowocowy granat 1 l,Soki owocowe i warzywne,Tymbark Fruit of the World Multi-fruit drink pomegranate 1 l,Fruit and vegetable juices,"Tymbark Fruits du Monde, boisson à la grenade multi-fruits 1 l",Jus de fruits et de légumes
269,Budy? Winiary o smaku waniliowym z cukrem ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Winiary pudding with vanilla flavor with sugar,Other food items not elsewhere classified,Pudding Winiary à la vanille et au sucre,Autres produits alimentaires nca
8957,Natka pietruszki - peczek,Warzywa ?wie?e lub ch?odzone inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Parsley leaf - bunch,"Fresh or chilled vegetables, other than potatoes or other tuber vegetables",Feuille de persil - bouquet,Légumes frais ou réfrigérés autres que les pommes de terre ou autres tubercules
1601,Jogurt owczy rians je?yny i jagody ,Jogurt,Sheep yogurt rians blackberries and blueberries,Yoghurt,"Yogourt aux moutons, myrtilles et myrtilles",yaourt
4654,Smart teens kó?eczka miodowe ,P?atki ?niadaniowe,Smart teens honey rings,Breakfast cereals,Jeunes intelligents anneaux de miel,Céréales de petit déjeuner
8766,Miks sa?at - Sa?ata Cesarska z roszponk?,Warzywa ?wie?e lub ch?odzone inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Salad mix - Caesar lettuce with lamb&#39;s lettuce,"Fresh or chilled vegetables, other than potatoes or other tuber vegetables",Mélange à salade - laitue César avec laitue d&#39;agneau,Légumes frais ou réfrigérés autres que les pommes de terre ou autres tubercules
4554,Serek na turek nasz mleczny ze szczypiorkiem ,Sery i twarogi,Our turkish cream cheese with chives,Cheese and curd,Notre fromage au lait turc à la ciboulette,Fromage et caillé
16997,Smalec z w?dzonk? - du?y,Pozosta?e t?uszcze zwierz?ce,Smoked lard - large,Other animal fats,Saindoux fumé - grand,Autres graisses animales
6291,Benus - Chleb delight wysokob?onnikowy niskokaloryczny,Pieczywo,"Benus - High-fiber, low-calorie delight bread",Bread,Benus - pain de plaisir riche en fibres et faible en calories,pain
8703,Melissa Primo Gusto - Pomidory suszone w oleju,Warzywa suszone i pozosta?e przetwory warzywne,Melissa Primo Gusto - Dried tomatoes in oil,Dried vegetables and other vegetable preserves,Melissa Primo Gusto - Tomates séchées à l&#39;huile,Légumes secs et autres préparations à base de légumes
4500,Ser ?ó?ty Gouda plastry ,Sery i twarogi,Gouda cheese slices,Cheese and curd,Tranches de gouda,Fromage et caillé
12634,KitKat Chunky Paluszek waflowy w mlecznej czekoladzie 40 g,Pozosta?e wyroby piekarskie,KitKat Chunky Wafer stick in milk chocolate 40 g,Other bakery products,Trousse de gaufrettes KitKat Chunky au chocolat au lait 40 g,Autres produits de boulangerie
707,Czekolada milka triple caramel ,Czekolada,Chocolate milk triple caramel,Chocolate,Lait au chocolat triple caramel,chocolat
6393,Bobovita - Deser owoce lata,?ywno?? dla dzieci,Bobovita - Summer fruit dessert,Food for children,Bobovita - dessert de fruits d&#39;été,Nourriture pour les enfants
799,Danie gotowe pulpety w sosie pomidorowym ,Pozosta?e przetwory mi?sne,A dish of ready meatballs in tomato sauce,Other meat preparations,Un plat de boulettes de viande prêtes à la sauce tomate,Autres préparations de viande
6634,Chrzan - korze?,Warzywa ?wie?e lub ch?odzone inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Horseradish - root,"Fresh or chilled vegetables, other than potatoes or other tuber vegetables",Raifort - racine,Légumes frais ou réfrigérés autres que les pommes de terre ou autres tubercules
3119,Napój z aloesem pure plus ,Napoje orze?wiaj?ce,Aloe pure plus drink,Refreshing drinks,Aloe pure plus drink,Boissons rafraîchissantes
6053,  - Spaghetti alla chitarra,Makarony i produkty makaronowe,#NAME?,Pasta and pasta products,#NAME?,Pâtes et macaronis
77,Babeczki dyniowe ,Pozosta?e produkty zbo?owe,Pumpkin muffins,Other cereal products,Muffins à la citrouille,Autres produits céréaliers
1894,Kawa ziarnista astra delikatny smak espresso 100% arabica ,Kawa,Astra coffee beans delicate espresso flavor 100% arabica,Coffee,Grains de café Astra saveur délicate d&#39;espresso 100% arabica,café
9131,Orasi - Napój sojowy z wanili?,Pozosta?e produkty mleczne,Orasi - Soy drink with vanilla,Other dairy products,Orasi - Boisson de soya à la vanille,Autres produits laitiers
3130,Nektar Hipp bananowy,Soki owocowe i warzywne,Banana Hipp Nectar,Fruit and vegetable juices,Nectar Banane Hipp,Jus de fruits et de légumes
16721,Bakalland Orzechy nerkowca 200 g,Owoce suszone i orzechy,Bakalland Cashews 200 g,Dried fruits and nuts,Bakalland Noix De Cajou 200 g,Fruits secs et noix
8051,Kit Kat - Baton chunky,Wyroby cukiernicze,Kit Kat - Baton chunky,Confectionery,Kit Kat - Baguette épaisse,Confiserie
14259,Häagen-Dazs Belgian Chocolate Lody 460 ml,Lody,Häagen-Dazs Belgian Chocolate Ice Cream 460 ml,Ice cream,Häagen-Dazs Glace au chocolat belge 460 ml,crème glacée
3143,Nektar Tymbark czarna porzeczka ,Soki owocowe i warzywne,Nektar Tymbark blackcurrant,Fruit and vegetable juices,Cassis Nektar Tymbark,Jus de fruits et de légumes
11846,Podravka Pomidory krojone w soku pomidorowym z bazyli? i oregano 390 g,Warzywa suszone i pozosta?e przetwory warzywne,Podravka Tomatoes cut in tomato juice with basil and oregano 390 g,Dried vegetables and other vegetable preserves,Tomates Podravka coupées en jus de tomates avec basilic et origan 390 g,Légumes secs et autres préparations à base de légumes
5407,Zaj?c Lindt Gold Bunny ,Czekolada,Lindt Gold Bunny,Chocolate,Lindt Gold Bunny,chocolat
871,Deser Hipp Truskawki i maliny z jogurtem,?ywno?? dla dzieci,Hipp dessert. Strawberries and raspberries with yogurt,Food for children,Hipp dessert. Fraises et framboises avec du yaourt,Nourriture pour les enfants
9092,Nutricia - Bebiko Pro+ 3 mleko powy?ej 1 roku,Mleko zag?szczone i w proszku,Nutricia - Bebiko Pro + 3 milk over 1 year,Powdered and powdered milk,Nutricia - Bebiko Pro + 3 lait sur 1 an,Lait condensé et en poudre
15732,Oshee Vitamin Water Napój niegazowany o smaku czerwonych winogron i dragonfruit 555 ml,Wody mineralne lub ?ródlane,Oshee Vitamin Water Non-carbonated drink with a taste of red grapes and dragonfruit 555 ml,Mineral or spring waters,Oshee Vitamin Water Boisson non gazeuse au goût de raisin rouge et de fruit de la dragon 555 ml,Eaux minérales ou sources
4103,Ry? sushi sonko 2x100g/200g ,Ry?,Sonko sushi rice 2x100g / 200g,Rice,Sonko Riz Sushi 2x100g / 200g,riz
145,Baton marcepanowy kokosowy belcoco ,Wyroby cukiernicze,Marzipan coconut belcoco bar,Confectionery,Bar belcoco au massepain et à la noix de coco,Confiserie
13407,Salami z pieprzem zielonym,W?dliny,Green pepper salami,meats,Salami au poivre vert,viandes
12764,dr Gerard Rolls Rolls Rurki waflowe kakaowe z kremem z mleczn? czekolad? 160 g,Pozosta?e wyroby piekarskie,dr Gerard Rolls Rolls Cocoa wafer tubes with cream and milk chocolate 160 g,Other bakery products,dr Gerard Rolls Rolls Tubes de gaufrettes au cacao avec crème et chocolat au lait 160 g,Autres produits de boulangerie
7046,Dr. Oetker - Mini pizza ser + szynka,Pizza i inne pó?produkty m?czne,Dr. Oetker - Mini cheese pizza + ham,Pizza and other flour semi-finished products,Dr. Oetker - Mini pizza au fromage + jambon,Pizza et autres produits à base de farine
12346,Dr. Oetker S?odka Chwila Budy? smak ?mietankowy 43 g,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Dr. Oetker S?odka Chwila Pudding cream flavor 43 g,Other food items not elsewhere classified,Dr. Oetker S?odka Chwila Pudding Saveur Crème 43 g,Autres produits alimentaires nca
11494,Knorr Lasagne 60 g,"Sosy, przyprawy",Knorr Lasagne 60 g,"Sauces, spices",Knorr Lasagne 60 g,"Sauces, Epices"
9023,Nestle - Kangus p?atki ?niadaniowe,P?atki ?niadaniowe,Nestle - Kangus breakfast cereal,Breakfast cereals,Nestlé - Céréales Kangus,Céréales de petit déjeuner
5007,Syrop nasze domowe z owoców czarnego bzu ,Soki owocowe i warzywne,Our home-made elderberry syrup,Fruit and vegetable juices,Notre sirop de sureau fait maison,Jus de fruits et de légumes
14494,Bakoma Jogurt naturalny 0% 170 g,Jogurt,Bakoma Natural yogurt 0% 170 g,Yoghurt,Bakoma Yaourt Naturel 0% 170 g,yaourt
7399,Goliard - Makaron wst?gi,Makarony i produkty makaronowe,Goliard - Pasta strips,Pasta and pasta products,Goliard - Lanières de pâtes,Pâtes et macaronis
6484,Bonduelle - Groszek extra drobny,Warzywa suszone i pozosta?e przetwory warzywne,Bonduelle - Extra-fine peas,Dried vegetables and other vegetable preserves,Bonduelle - Pois extra-fins,Légumes secs et autres préparations à base de légumes
9948,Szczepanki - M?ka ?ytnia typ 720,M?ka i pozosta?e zbo?a,Szczepanki - Rye flour type 720,Flour and other cereals,Szczepanki - Farine de seigle type 720,Farine et autres céréales
7957,Kaktus - Lody cytrynowe i lody wodne truskawkowe z kawa?kam... suszonych truskawek,Lody,Cactus - Lemon ice cream and strawberry ice cream with a piece of ... dried strawberries,Ice cream,Cactus - Crème glacée au citron et fraise avec un morceau de ... fraises séchées,crème glacée
16847,"Schabik jagni?cy bez ko?ci, rasa Merynos",Mi?so baranie i kozie,"Boneless lamb loin, Merino breed",Sheep and goat meat,"Longe d&#39;agneau désossée, race Mérinos",Viande de mouton et de chèvre
7948,Jutrzenka - Galaretka Mella o smaku pomara?czowym,Wyroby cukiernicze,Dawn - Mella jelly with orange flavor,Confectionery,Dawn - Gelée de Mella au goût d&#39;orange,Confiserie
10206,"Vitax - Herbata owocowo-zio?owa burak, truskawka, lubczyk",Herbata,"Vitax - Fruit and herbal tea beetroot, strawberry, lovage",Tea,"Vitax - Tisane à la betterave, aux fraises et à la tisane",thé
2851,Mleko NAN Pro H.A.3 ,Mleko zag?szczone i w proszku,NAN Pro HA3 milk,Powdered and powdered milk,Lait NAN Pro HA3,Lait condensé et en poudre
12006,Amino Zupa b?yskawiczna gulaszowa z wieprzowin? i papryk? 59 g,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Amino Instant goulash soup with pork and paprika 59 g,Other food items not elsewhere classified,Soupe Amino Instant Goulash au porc et paprika 59 g,Autres produits alimentaires nca
2424,Makaron Corticella muszelki,Makarony i produkty makaronowe,Scallop Corticella pasta,Pasta and pasta products,Coquilles Corticella,Pâtes et macaronis
15234,Big-Active Zielona herbata li?ciasta z owocem maliny 100 g,Herbata,Big-Active Green leaf tea with raspberry fruit 100 g,Tea,Thé vert à la framboise Big-Active 100 g,thé
8379,Legend - Figi suszone,Owoce suszone i orzechy,Legend - Dried figs,Dried fruits and nuts,Légende - Figues séchées,Fruits secs et noix
14002,Proste Historie Zupa kalafiorowa z koperkiem 450 g,Gotowe dania,Simple Stories Cauliflower soup with dill 450 g,Prepared dishes,Simple Stories Soupe de chou-fleur à l&#39;aneth 450 g,Plats cuisinés
12567,Knoppers Wafelek mleczno-orzechowy 25 g,Wyroby cukiernicze,Knoppers Milk-nut wafer 25 g,Confectionery,Knoppers Gaufrette au lait et noix 25 g,Confiserie
10262,Wawrzyniec - Pasta warzywna z suszonymi pomidorami i ?urawin?,Warzywa suszone i pozosta?e przetwory warzywne,Wawrzyniec - Vegetable paste with dried tomatoes and cranberries,Dried vegetables and other vegetable preserves,Wawrzyniec - Pâte de légumes aux tomates séchées et aux canneberges,Légumes secs et autres préparations à base de légumes
11670,Rolnik Marchew z groszkiem i kukurydz? 460 g,Warzywa suszone i pozosta?e przetwory warzywne,Rolnik Carrots with peas and corn 460 g,Dried vegetables and other vegetable preserves,Rolnik Carottes aux petits pois et maïs 460 g,Légumes secs et autres préparations à base de légumes
769,Czekoladowe p?atki pomara?czowe /75g ,Czekolada,Chocolate flakes orange / 75g,Chocolate,Flocons de chocolat orange / 75g,chocolat
15418,"Sir Winston Tea Royal Earl Grey Aromatyzowana herbata czarna 175 g (100 x 1,75 g)",Herbata,Sir Winston Tea Royal Earl Gray Flavored Black Tea 175 g (100 x 1.75 g),Tea,"Sir Winston Tea Thé noir aromatisé Royal Earl Grey, 175 g (100 x 1,75 g)",thé
2240,Lizak Chupa Chups XXL/29g ,Wyroby cukiernicze,Chupa Chups XXL / 29g lollipop,Confectionery,Sucette Chupa Chups XXL / 29g,Confiserie
14942,Warmia Ser Podlaski w plastrach,Sery i twarogi,Warmia Cheese Podlaski in slices,Cheese and curd,Warmia Podlaski au fromage en tranches,Fromage et caillé
7185,Familijne - Wafle kakaowe,Pozosta?e wyroby piekarskie,Familijne - Cocoa wafers,Other bakery products,Familijne - Gaufrettes au cacao,Autres produits de boulangerie
15138,?aciate Mas?o ekstra 100 g,Mas?o,Spotted Butter extra 100 g,Butter,Beurre tacheté extra 100 g,beurre
14176,FRoSTA Chickensy Chrupi?ce kotleciki z kurczaka 250 g + sos 25 ml,Pozosta?e przetwory mi?sne,FRoSTA Chickensy Crispy chicken cutlets 250 g + 25 ml sauce,Other meat preparations,FRoSTA Chickensy Escalopes de poulet croustillantes 250 g + 25 ml de sauce,Autres préparations de viande
16733,  ?urawina s?odzona suszona 400 g,Owoce suszone i orzechy,Dried sweetened cranberry 400 g,Dried fruits and nuts,Canneberges sucrées séchées 400 g,Fruits secs et noix
15001,Lazur Ser ple?niowy B??kitny g?ówka,Sery i twarogi,Azure Blue cheese. Blue head,Cheese and curd,Fromage Bleu Azur. Tête Bleue,Fromage et caillé
1898,Kawa ziarnista prima finezja ,Kawa,Coffee beans prima finesse,Coffee,Grains de café prime finesse,café
13277,  Kaczka wykwintna Pekin,Mi?so drobiowe,Exquisite Beijing duck,Poultry meat,Canard de Pékin exquis,Viande de volaille
12937,"Mentos Sour Fruits Cukierki do ?ucia 37,5 g",Wyroby cukiernicze,Mentos Sour Fruits Chewing candies 37.5 g,Confectionery,"Bonbons à mâcher Mentos Sour Fruits 37,5 g",Confiserie
13611,Indykpol Samo dobro Jedynki Kie?basa 200 g,W?dliny,Indykpol Good same Jedynka Sausage 200 g,meats,Indykpol Bon Même Saucisse Jedynka 200 g,viandes
3278,Oliwa Goya Light,Oliwa z oliwek,Olive Goya Light,olive oil,Olive Goya Légère,Huile d&#39;olive
5225,Twaróg Wiejski pó?t?usty BIO ,Sery i twarogi,Semi-skimmed cottage cheese BIO,Cheese and curd,Fromage cottage demi-écrémé BIO,Fromage et caillé
4049,Rosó? Winiary drobiowo-warzywny ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Chicken broth Winiary chicken and vegetable,Other food items not elsewhere classified,Bouillon de poulet poulet Winiary et légumes,Autres produits alimentaires nca
1833,Kawa Nescore ,Kawa,Nescore coffee,Coffee,Café Nescore,café
14254,Häagen-Dazs Peanut Butter Crunch Lody 460 ml,Lody,Häagen-Dazs Peanut Butter Crunch Ice Cream 460 ml,Ice cream,Häagen-Dazs Crème glacée au beurre de cacahuète 460 ml,crème glacée
2003,Kie?baski Bankietowe z kurcz?t ,W?dliny,Chicken Banquet Sausages,meats,Saucisses de Poulet,viandes
1435,Herbatniki Petit Buerre Krakuski ,Pozosta?e wyroby piekarskie,Petit Buerre Krakuski biscuits,Other bakery products,Biscuits Petit Buerre Krakuski,Autres produits de boulangerie
13432,Indykpol Parówki Ulubione 205 g (5 sztuk),W?dliny,Indykpol Frankfurters Favorites 205 g (5 pieces),meats,Favoris de saucisses de Francfort Indykpol 205 g (5 pièces),viandes
15558,Dallmayr Prodomo Kawa ziarnista 250 g,Kawa,Dallmayr Prodomo Coffee beans 250 g,Coffee,Dallmayr Prodomo Grains de café 250 g,café
11984,Knorr Domowe Smaki ?urek 54 g,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Knorr Homemade Flavors ?urek 54 g,Other food items not elsewhere classified,Knorr Domowe Smaki ?urek 54 g,Autres produits alimentaires nca
13148,  S?onecznik ?uskany sma?ony solony 100 g,Owoce suszone i orzechy,Fried salted sunflower seeds 100 g,Dried fruits and nuts,Graines de tournesol frites et salées 100 g,Fruits secs et noix
1434,Herbatniki petit beurre pe?noziarniste ,Pozosta?e wyroby piekarskie,Whole-grain petit beurre biscuits,Other bakery products,Petits biscuits au beurre entier,Autres produits de boulangerie
5428,Zupa b?yskawiczna wo?owina ,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Instant beef soup,Other food items not elsewhere classified,Soupe de boeuf instantanée,Autres produits alimentaires nca
9921,SuperFish - Koreczki ?ledziowe kaszubskie z rodzynkami,Pozosta?e przetwory z ryb i owoców morza,SuperFish - Kashubian herring cakes with raisins,Other preparations of fish and seafood,SuperFish - Galettes de hareng de la Cachoubie avec des raisins secs,Autres préparations de poisson et de fruits de mer
15185,Irving Herbata zielona malinowa 30 g (20 torebek),Herbata,Irving Green Raspberry Tea 30 g (20 bags),Tea,Thé aux framboises Irving Green 30 g (20 sachets),thé
3877,Przyprawa do piernika prymat ,"Sól, przyprawy korzenne i zio?a kulinarne",Gingerbread spice primacy,"Salt, spices and culinary herbs",Primauté des épices en pain d&#39;épice,"Sel, épices et herbes culinaires"
2170,Krewetki ca?e surowe ,Owoce morza ?wie?e lub ch?odzone,Whole raw shrimps,Fresh or chilled seafood,Crevettes entières crues,Fruits de mer frais ou réfrigérés
7035,Dr. Oetker - Galaretka o smaku truskawkowym bez glutenu,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Dr. Oetker - Strawberry flavored jelly without gluten,Other food items not elsewhere classified,Dr. Oetker - Gelée à la fraise sans gluten,Autres produits alimentaires nca
12836,Princessa longa orzechowa Wafel przek?adany kremem orzechowym oblany mleczn? czekolad? 45 g,Pozosta?e wyroby piekarskie,Princessa longa nut waffle layered with nut cream coated with milk chocolate 45 g,Other bakery products,Gaufre Princessa Longa aux noix avec crème de noix enrobée de chocolat au lait 45 g,Autres produits de boulangerie
16383,Dijo Orginal Tortilla placki pszenne  296 g (8 sztuki),Pozosta?e wyroby piekarskie,Dijo Original Tortilla Wheat Cakes 296 g (8 pieces),Other bakery products,Galettes de blé à la tortilla Dijo Original 296 g (8 pièces),Autres produits de boulangerie
4110,Salami Bia?e Spi?arnia Smaków ,W?dliny,Salami White Pantry of Flavors,meats,Salami White Pantry of Flavors,viandes
5722,  - Boczek wieprzowy plastry,W?dliny,#NAME?,meats,#NAME?,viandes
13299,Smakmak Flaczki ciel?ce krojone 900 g,Mi?so wo?owe i ciel?ce,Taste taste Veal tripe cut 900 g,Beef and veal meat,Tripes de veau coupées 900 g,Boeuf et veau
8415,Lifeberry - 100% naturalny sok przecierowy z ?urawiny,Soki owocowe i warzywne,Lifeberry - 100% natural cranberry puree juice,Fruit and vegetable juices,Lifeberry - Jus de purée de canneberges 100% naturel,Jus de fruits et de légumes
2845,Mleko NAN Pro 2 ,Mleko zag?szczone i w proszku,NAN Pro 2 milk,Powdered and powdered milk,NAN Pro 2 lait,Lait condensé et en poudre
901,De'serek Jana czekoladowy,Pozosta?e produkty mleczne,Chocolate de&#39;serek,Other dairy products,Chocolat de&#39;serek,Autres produits laitiers
16942,Krewetki gotowane z ogonkiem 16/20 mro?one,Owoce morza mro?one,Shrimps cooked with tail 16/20 frozen,Frozen seafood,Crevettes cuites avec la queue 16/20 congelées,Fruits de mer congelés
13911,Lisner O Mamo! Sa?atka jajeczna z ?ososiem 140 g,Pozosta?e przetwory z ryb i owoców morza,"Lisner, Mother! Egg salad with salmon 140 g",Other preparations of fish and seafood,"Lisner, mère! Salade d&#39;oeufs au saumon 140 g",Autres préparations de poisson et de fruits de mer
10742,  Makaron bezjajeczny spirali 500 g,Makarony i produkty makaronowe,Egg spiral noodles 500 g,Pasta and pasta products,Nouilles spirales aux œufs 500 g,Pâtes et macaronis
11151,Knorr Przyprawa do mi?sa mielonego 23 g,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr Seasoning for minced meat 23 g,"Salt, spices and culinary herbs",Knorr Assaisonnement pour viande hachée 23 g,"Sel, épices et herbes culinaires"
469,Ciastka hit orzechowy ,Pozosta?e wyroby piekarskie,Nutty hit cookies,Other bakery products,Noisette frappé cookies,Autres produits de boulangerie
5275,Wafle Familijne kokosowe,Pozosta?e wyroby piekarskie,Family coconut wafers,Other bakery products,Gaufrettes familiales à la noix de coco,Autres produits de boulangerie
2996,Napój gazowany Schweppes Dr Pepper regular ,Napoje orze?wiaj?ce,Schweppes Dr. Pepper carbonated drink,Refreshing drinks,Schweppes Dr. Pepper boisson gazeuse,Boissons rafraîchissantes
16984,Krewetki 40/60 (opakowanie ok. 1 kg),Owoce morza ?wie?e lub ch?odzone,Shrimps 40/60 (packaging approx. 1 kg),Fresh or chilled seafood,Crevettes 40/60 (emballage environ 1 kg),Fruits de mer frais ou réfrigérés
16792,KRESTO Rodzynki jumbo 200 g,Owoce suszone i orzechy,KRESTO Jumbo raisins 200 g,Dried fruits and nuts,KRESTO Jumbo raisins secs 200 g,Fruits secs et noix
11814,GRAAL Filety z makreli w sosie pomidorowym 120 g,Pozosta?e przetwory z ryb i owoców morza,GRAAL Mackerel fillets in tomato sauce 120 g,Other preparations of fish and seafood,Filets de maquereau GRAAL à la sauce tomate 120 g,Autres préparations de poisson et de fruits de mer
440,Ciasteczka Solidarno?? waniliowe,Pozosta?e wyroby piekarskie,Vanilla solidarity cookies,Other bakery products,Biscuits de solidarité à la vanille,Autres produits de boulangerie
13363,Balcerzak Kie?basa ?ywiecka extra wieprzowa 90 g,W?dliny,Balcerzak ?ywiec sausage extra pork 90 g,meats,Balcerzak ?ywiec saucisse extra de porc 90 g,viandes
10807,  Bulgur 500 g,M?ka i pozosta?e zbo?a,Bulgur 500 g,Flour and other cereals,Bulgur 500 g,Farine et autres céréales
11166,Knorr Przyprawa do kurczaka po prowansalsku 23 g,"Sól, przyprawy korzenne i zio?a kulinarne",Knorr Provencal Chicken Seasoning 23 g,"Salt, spices and culinary herbs",Assaisonnement Poulet à la Provençale Knorr 23 g,"Sel, épices et herbes culinaires"
9673,Rolnik - Kompot agrestowy,Przetwory owocowe,Farmer - Gooseberry compote,Fruit preserves,Farmer - Compote de groseilles à maquereau,Conserves de fruits
15735,"Muszyna Cechini Napój gazowany na bazie naturalnej wody mineralnej cytrynowy 0,33 l",Wody mineralne lub ?ródlane,Muszyna Cechini Carbonated drink based on natural lemon mineral water 0.33 l,Mineral or spring waters,"Muszyna Cechini Boisson gazéifiée à base d’eau minérale naturelle de citron 0,33 l",Eaux minérales ou sources
1665,Kanapkowy mini ?mietankowy 4*30g ,Sery i twarogi,Sandwich mini cream 4 * 30g,Cheese and curd,Sandwich mini crème 4 * 30g,Fromage et caillé
11360,Pudliszki Ketchup ?agodny 990 g,"Sosy, przyprawy",Pudliszki Ketchup mild 990 g,"Sauces, spices",Pudliszki Ketchup doux 990 g,"Sauces, Epices"
2326,Lody kubek milka ,Lody,Ice cream cup milk,Ice cream,Coupe de crème glacée au lait,crème glacée
1009,Faworki paczkowane ,Pozosta?e wyroby piekarskie,Prepackaged angel wings,Other bakery products,Ailes d&#39;ange pré-emballées,Autres produits de boulangerie
1274,Herbata Ahmad Tea English Breakfast ,Herbata,Ahmad Tea English Breakfast,Tea,Petit déjeuner anglais Ahmad Tea,thé
13967,Hortex Warzywa na patelni? ze szpinakiem 450 g,Warzywa mro?one inne ni? ziemniaki lub pozosta?e warzywa bulwiaste,Hortex Vegetables for a pan with spinach 450 g,"Frozen vegetables, other than potatoes or other tuber vegetables",Hortex Légumes pour une casserole aux épinards 450 g,Légumes congelés autres que les pommes de terre ou autres tubercules
2462,Makaron lubella 5 jajeczny nitki/250g ,Makarony i produkty makaronowe,Pasta lubella 5 egg threads / 250g,Pasta and pasta products,Pâtes Lubella 5 fils d&#39;oeuf / 250g,Pâtes et macaronis
3047,Napój mleczny o smaku orzecha laskowego ,Pozosta?e produkty mleczne,Hazelnut milk drink,Other dairy products,Boisson au lait de noisette,Autres produits laitiers
13792,Pstr?g w?dzony z g?ow?,"Ryby i owoce morza suszone, w?dzone lub solone",Smoked trout with head,"Dried, smoked or salted seafood and fish",Truite fumée avec tête,"Poisson et fruits de mer séchés, fumés ou salés"
3437,Papryka Figaro ,Warzywa suszone i pozosta?e przetwory warzywne,Figaro pepper,Dried vegetables and other vegetable preserves,Poivre Figaro,Légumes secs et autres préparations à base de légumes
16967,O?miornica gotowana Tako 20 plastrów mro?ona,Owoce morza mro?one,Cooked octopus Tako 20 slices frozen,Frozen seafood,Poulpe cuit Tako 20 tranches congelées,Fruits de mer congelés
406,Chrupiace kotleciki z kurczaka Frosta,Pozosta?e przetwory mi?sne,Frosta crispy chicken cutlets,Other meat preparations,Côtelettes de poulet croustillantes Frosta,Autres préparations de viande
1159,Galaretka Winiary malinowa,"Inne artyku?y ?ywno?ciowe, gdzie indziej niesklasyfikowane",Raspberry Winiary Jelly,Other food items not elsewhere classified,Gelée De Winiary Aux Framboises,Autres produits alimentaires nca
4837,Sos HP BBQ pikantny ,"Sosy, przyprawy",HP BBQ Spicy Sauce,"Sauces, spices",Sauce épicée pour barbecue HP,"Sauces, Epices"
3835,Powid?a ?liwkowe Mi?dzychód,"D?emy, marmolady i miód",Plum jam Mi?dzychód,"Jams, marmalades and honey",Confiture de prunes Mi?dzychód,"Confitures, marmelades et miel"
